"GEO_ID","NAME","P3_001N","P3_001NA","P3_002N","P3_002NA","P3_003N","P3_003NA","P3_004N","P3_004NA","P3_005N","P3_005NA","P3_006N","P3_006NA","P3_007N","P3_007NA","P3_008N","P3_008NA","P3_009N","P3_009NA","P3_010N","P3_010NA","P3_011N","P3_011NA","P3_012N","P3_012NA","P3_013N","P3_013NA","P3_014N","P3_014NA","P3_015N","P3_015NA","P3_016N","P3_016NA","P3_017N","P3_017NA","P3_018N","P3_018NA","P3_019N","P3_019NA","P3_020N","P3_020NA","P3_021N","P3_021NA","P3_022N","P3_022NA","P3_023N","P3_023NA","P3_024N","P3_024NA","P3_025N","P3_025NA","P3_026N","P3_026NA","P3_027N","P3_027NA","P3_028N","P3_028NA","P3_029N","P3_029NA","P3_030N","P3_030NA","P3_031N","P3_031NA","P3_032N","P3_032NA","P3_033N","P3_033NA","P3_034N","P3_034NA","P3_035N","P3_035NA","P3_036N","P3_036NA","P3_037N","P3_037NA","P3_038N","P3_038NA","P3_039N","P3_039NA","P3_040N","P3_040NA","P3_041N","P3_041NA","P3_042N","P3_042NA","P3_043N","P3_043NA","P3_044N","P3_044NA","P3_045N","P3_045NA","P3_046N","P3_046NA","P3_047N","P3_047NA","P3_048N","P3_048NA","P3_049N","P3_049NA","P3_050N","P3_050NA","P3_051N","P3_051NA","P3_052N","P3_052NA","P3_053N","P3_053NA","P3_054N","P3_054NA","P3_055N","P3_055NA","P3_056N","P3_056NA","P3_057N","P3_057NA","P3_058N","P3_058NA","P3_059N","P3_059NA","P3_060N","P3_060NA","P3_061N","P3_061NA","P3_062N","P3_062NA","P3_063N","P3_063NA","P3_064N","P3_064NA","P3_065N","P3_065NA","P3_066N","P3_066NA","P3_067N","P3_067NA","P3_068N","P3_068NA","P3_069N","P3_069NA","P3_070N","P3_070NA","P3_071N","P3_071NA",
"0500000US48389","Reeves County, Texas","11619","null","8984","null","6729","null","248","null","80","null","138","null","3","null","1786","null","2635","null","2602","null","1","null","35","null","2","null","5","null","2527","null","0","null","0","null","0","null","9","null","1","null","0","null","18","null","1","null","3","null","0","null","32","null","0","null","0","null","1","null","0","null","13","null","0","null","14","null","1","null","0","null","2","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48391","Refugio County, Texas","5244","null","4291","null","3351","null","341","null","21","null","22","null","0","null","556","null","953","null","932","null","15","null","53","null","2","null","2","null","845","null","0","null","0","null","2","null","5","null","0","null","0","null","6","null","0","null","2","null","0","null","20","null","6","null","5","null","0","null","0","null","0","null","0","null","9","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48393","Roberts County, Texas","626","null","580","null","564","null","2","null","2","null","0","null","0","null","12","null","46","null","42","null","7","null","19","null","0","null","2","null","14","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48395","Robertson County, Texas","12722","null","11852","null","8331","null","2305","null","73","null","82","null","11","null","1050","null","870","null","829","null","55","null","169","null","11","null","1","null","562","null","17","null","3","null","0","null","4","null","0","null","0","null","6","null","0","null","1","null","0","null","27","null","0","null","0","null","0","null","0","null","0","null","0","null","21","null","0","null","0","null","0","null","6","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","12","null","2","null","0","null","10","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","1","null","1","null",
"0500000US48397","Rockwall County, Texas","78525","null","70061","null","56449","null","5778","null","657","null","2551","null","73","null","4553","null","8464","null","8182","null","342","null","1515","null","392","null","29","null","5567","null","56","null","17","null","1","null","75","null","15","null","9","null","142","null","8","null","14","null","0","null","250","null","41","null","13","null","2","null","23","null","10","null","0","null","114","null","25","null","11","null","1","null","0","null","5","null","2","null","0","null","0","null","0","null","2","null","0","null","0","null","1","null","29","null","4","null","0","null","22","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","2","null","0","null","0","null","1","null","0","null","0","null",
"0500000US48399","Runnels County, Texas","7636","null","6767","null","5855","null","122","null","67","null","22","null","7","null","694","null","869","null","846","null","25","null","107","null","5","null","0","null","684","null","0","null","0","null","7","null","1","null","0","null","2","null","8","null","0","null","6","null","1","null","11","null","0","null","0","null","0","null","6","null","0","null","0","null","4","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","10","null","4","null","6","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48401","Rusk County, Texas","40718","null","38081","null","27127","null","6741","null","309","null","183","null","19","null","3702","null","2637","null","2575","null","172","null","666","null","49","null","3","null","1589","null","37","null","0","null","0","null","29","null","4","null","0","null","26","null","0","null","0","null","0","null","53","null","18","null","0","null","0","null","14","null","4","null","0","null","11","null","1","null","0","null","3","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","9","null","0","null","5","null","1","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48403","Sabine County, Texas","8063","null","7711","null","6978","null","551","null","43","null","45","null","0","null","94","null","352","null","335","null","17","null","181","null","1","null","2","null","112","null","3","null","2","null","0","null","7","null","0","null","1","null","7","null","1","null","1","null","0","null","14","null","3","null","8","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","1","null","3","null","0","null","0","null","0","null","0","null","1","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48405","San Augustine County, Texas","6286","null","6032","null","4447","null","1334","null","29","null","24","null","0","null","198","null","254","null","226","null","27","null","49","null","1","null","0","null","132","null","8","null","0","null","6","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","26","null","7","null","1","null","0","null","0","null","1","null","0","null","3","null","1","null","4","null","0","null","5","null","0","null","4","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null",
"0500000US48407","San Jacinto County, Texas","21447","null","19809","null","16401","null","1720","null","167","null","74","null","10","null","1437","null","1638","null","1598","null","48","null","484","null","36","null","2","null","947","null","6","null","2","null","3","null","26","null","1","null","0","null","30","null","5","null","8","null","0","null","39","null","17","null","0","null","0","null","4","null","0","null","0","null","14","null","0","null","1","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
