super_opeid,name,czname,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,opeid,opeid_name,superopeid_name
7394,"Berkeley College of New York, NY",New York,0.2103569358587265,5.6456050515407696e-5,0.057736836373806,1.5495537809329107e-5,7394,BERKELEY COLLEGE,"BERKELEY COLLEGE OF NEW YORK, NY"
9618,Tulsa Welding School,Tulsa,0.20878514647483826,0,0.057658854871988297,0,9618,TULSA WELDING SCHOOL,TULSA WELDING SCHOOL
3614,Southwest Texas Junior College,Uvalde,0.13336743414402008,0.0029788846150040627,0.05731887370347977,0.0012802699347957969,3614,SOUTHWEST TEXAS JUNIOR COLLEGE,SOUTHWEST TEXAS JUNIOR COLLEGE
1141,"California State University, Dominguez Hills",Los Angeles,0.21281729638576508,0.002768026664853096,0.05600976571440697,7.284958846867085e-4,1141,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS","CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS"
1315,"University Of California, Los Angeles",Los Angeles,0.5463655591011047,0.044001542031764984,0.05596252158284187,0.004506940953433514,1315,"UNIVERSITY OF CALIFORNIA, LOS ANGELES","UNIVERSITY OF CALIFORNIA, LOS ANGELES"
10509,Hallmark College Of Technology,San Antonio,0.1767721325159073,0,0.05586206540465355,0,10509,HALLMARK COLLEGE OF TECHNOLOGY,HALLMARK COLLEGE OF TECHNOLOGY
2697,Queensborough Community College-CUNY,New York,0.20115633308887482,0.004932058043777943,0.055470917373895645,0.0013600654201582074,2697,QUEENSBOROUGH COMMUNITY COLLEGE-CUNY,QUEENSBOROUGH COMMUNITY COLLEGE-CUNY
122,Long Island University System,New York,0.2976979911327362,0.012805027887225151,0.0553596056997776,0.0023812095168977976,2751,LONG ISLAND UNIVERSITY,LONG ISLAND UNIVERSITY SYSTEM
122,Long Island University System,New York,0.2976979911327362,0.012805027887225151,0.0553596056997776,0.0023812095168977976,2754,,LONG ISLAND UNIVERSITY SYSTEM
122,Long Island University System,New York,0.2976979911327362,0.012805027887225151,0.0553596056997776,0.0023812095168977976,2755,LONG ISLAND UNIVERSITY - SOUTHAMPTON COLLEGE,LONG ISLAND UNIVERSITY SYSTEM
122,Long Island University System,New York,0.2976979911327362,0.012805027887225151,0.0553596056997776,0.0023812095168977976,4779,LONG ISLAND UNIVERSITY - BROOKLYN,LONG ISLAND UNIVERSITY SYSTEM
122,Long Island University System,New York,0.2976979911327362,0.012805027887225151,0.0553596056997776,0.0023812095168977976,24705,,LONG ISLAND UNIVERSITY SYSTEM
1374,Albertus Magnus College,Bridgeport,0.4255186915397644,2.9414467280730605e-4,0.05520476773381233,3.8160927942954004e-5,1374,ALBERTUS MAGNUS COLLEGE,ALBERTUS MAGNUS COLLEGE
2638,Saint Peter's University,Newark,0.26857879757881165,0.007068668492138386,0.05497464910149574,0.001446866081096232,2638,SAINT PETER'S UNIVERSITY,SAINT PETER'S UNIVERSITY
1155,San Jose State University,San Jose,0.46557116508483887,0.018367312848567963,0.054279133677482605,0.002141373697668314,1155,SAN JOSE STATE UNIVERSITY,SAN JOSE STATE UNIVERSITY
2782,New York Institute Of Technology,New York,0.36985093355178833,1.0352841491112486e-4,0.054028045386075974,1.512349263066426e-5,2782,NEW YORK INSTITUTE OF TECHNOLOGY,NEW YORK INSTITUTE OF TECHNOLOGY
2613,New Jersey City University,Newark,0.26058468222618103,0,0.05318467319011688,0,2613,NEW JERSEY CITY UNIVERSITY,NEW JERSEY CITY UNIVERSITY
3639,Texas A&M University - Kingsville,Corpus Christi,0.20836183428764343,0.0063951751217246056,0.052935030311346054,0.0016247158637270331,3639,TEXAS A&M UNIVERSITY - KINGSVILLE,TEXAS A&M UNIVERSITY - KINGSVILLE
2032,Xavier University Of Louisiana,New Orleans,0.3146270215511322,0.021135637536644936,0.05255139246582985,0.0035302345640957355,2032,XAVIER UNIVERSITY OF LOUISIANA,XAVIER UNIVERSITY OF LOUISIANA
3625,Sul Ross State University,Alpine,0.22195349633693695,0.014832546003162861,0.05249536409974098,0.0035081219393759966,3625,SUL ROSS STATE UNIVERSITY,SUL ROSS STATE UNIVERSITY
1050,Tuskegee University,Auburn,0.2804824411869049,0,0.052321042865514755,0,1050,TUSKEGEE UNIVERSITY,TUSKEGEE UNIVERSITY
9635,Florida International University,Miami,0.34801068902015686,0.007807939313352108,0.05224958062171936,0.0011722672497853637,9635,FLORIDA INTERNATIONAL UNIVERSITY,FLORIDA INTERNATIONAL UNIVERSITY
3623,Saint Mary's University,San Antonio,0.38036057353019714,0.01675483025610447,0.05114038288593292,0.0022527265828102827,3623,SAINT MARY'S UNIVERSITY,SAINT MARY'S UNIVERSITY
2836,Binghamton University,Union,0.5397847890853882,0.048192862421274185,0.050876304507255554,0.004542319104075432,2836,BINGHAMTON UNIVERSITY,BINGHAMTON UNIVERSITY
10097,CUNY Medgar Evers College,New York,0.16558720171451569,2.8742009817506187e-5,0.0504787415266037,8.761911885812879e-6,10097,CUNY MEDGAR EVERS COLLEGE,CUNY MEDGAR EVERS COLLEGE
7109,SUNY College At Old Westbury,New York,0.24483013153076172,0,0.05040614306926727,0,7109,SUNY COLLEGE AT OLD WESTBURY,SUNY COLLEGE AT OLD WESTBURY
1134,California Maritime Academy,San Francisco,0.8497473001480103,0.060716722160577774,0.050363775342702866,0.0035986267030239105,1134,CALIFORNIA MARITIME ACADEMY,CALIFORNIA MARITIME ACADEMY
2004,Dillard University,New Orleans,0.20298244059085846,0.0019254728686064482,0.05028480663895607,4.7699708375148475e-4,2004,DILLARD UNIVERSITY,DILLARD UNIVERSITY
2883,Utica College,Syracuse,0.3836047351360321,0.029418235644698143,0.05026230961084366,0.0038545625284314156,2883,UTICA COLLEGE,UTICA COLLEGE
2694,Kingsborough Commmunity College/CUNY,New York,0.1835983395576477,0.006046587135642767,0.049766186624765396,0.001638988615013659,2694,KINGSBOROUGH COMMMUNITY COLLEGE/CUNY,KINGSBOROUGH COMMMUNITY COLLEGE/CUNY
2667,Dowling College,New York,0.3032621443271637,0.007675872649997473,0.04954150319099426,0.0012539457529783249,2667,DOWLING COLLEGE,DOWLING COLLEGE
34,University Of Houston System,Houston,0.3123810291290283,0.011459768749773502,0.04914170503616333,0.0018027746118605137,3612,UNIVERSITY OF HOUSTON - DOWNTOWN,UNIVERSITY OF HOUSTON SYSTEM
34,University Of Houston System,Houston,0.3123810291290283,0.011459768749773502,0.04914170503616333,0.0018027746118605137,3652,UNIVERSITY OF HOUSTON,UNIVERSITY OF HOUSTON SYSTEM
34,University Of Houston System,Houston,0.3123810291290283,0.011459768749773502,0.04914170503616333,0.0018027746118605137,11711,UNIVERSITY OF HOUSTON - CLEAR LAKE,UNIVERSITY OF HOUSTON SYSTEM
34,University Of Houston System,Houston,0.3123810291290283,0.011459768749773502,0.04914170503616333,0.0018027746118605137,13231,UNIVERSITY OF HOUSTON - VICTORIA,UNIVERSITY OF HOUSTON SYSTEM
1312,"University Of California, Berkeley",San Francisco,0.5524665117263794,0.08640043437480927,0.04885095730423927,0.007639818359166384,1312,"UNIVERSITY OF CALIFORNIA, BERKELEY","UNIVERSITY OF CALIFORNIA, BERKELEY"
9797,Midland College,Midland,0.2568589448928833,0.004697646014392376,0.048402562737464905,8.852255996316671e-4,9797,MIDLAND COLLEGE,MIDLAND COLLEGE
1317,"University Of California, San Diego",San Diego,0.5506000518798828,0.0454552061855793,0.04832746461033821,0.003989710472524166,1317,"UNIVERSITY OF CALIFORNIA, SAN DIEGO","UNIVERSITY OF CALIFORNIA, SAN DIEGO"
1214,Imperial Valley College,Yuma,0.13431495428085327,0,0.048198018223047256,0,1214,IMPERIAL VALLEY COLLEGE,IMPERIAL VALLEY COLLEGE
1261,Pasadena City College,Los Angeles,0.17234070599079132,0.004236116074025631,0.048148058354854584,0.0011834740871563554,1261,PASADENA CITY COLLEGE,PASADENA CITY COLLEGE
1137,"California State University, Fullerton",Los Angeles,0.3961057662963867,0.0069595868699252605,0.04799315333366394,8.432407630607486e-4,1137,"CALIFORNIA STATE UNIVERSITY, FULLERTON","CALIFORNIA STATE UNIVERSITY, FULLERTON"
10387,El Paso Community College,El Paso,0.11668071895837784,0.001726611633785069,0.0477459542453289,7.065325044095516e-4,10387,EL PASO COMMUNITY COLLEGE,EL PASO COMMUNITY COLLEGE
5692,Reid State Technical College,Atmore,0.13939927518367767,8.667299407534301e-4,0.047562312334775925,2.957237884402275e-4,5692,REID STATE TECHNICAL COLLEGE,REID STATE TECHNICAL COLLEGE
36273,Lamar Institute Of Technology,Beaumont,0.19470010697841644,0.0020055349450558424,0.04727725684642792,4.869858094025403e-4,36273,LAMAR INSTITUTE OF TECHNOLOGY,LAMAR INSTITUTE OF TECHNOLOGY
3596,Odessa College,Midland,0.227226123213768,0.011935855261981487,0.04709938168525696,0.002474061446264386,3596,ODESSA COLLEGE,ODESSA COLLEGE
59,Robert Morgan And Miami Lakes Educational Centers,Miami,0.13001620769500732,3.262361860834062e-5,0.046207040548324585,1.1594253010116518e-5,23162,MIAMI LAKES EDUCATIONAL CENTER,ROBERT MORGAN AND MIAMI LAKES EDUCATIONAL CENTERS
59,Robert Morgan And Miami Lakes Educational Centers,Miami,0.13001620769500732,3.262361860834062e-5,0.046207040548324585,1.1594253010116518e-5,25242,ROBERT MORGAN EDUCATIONAL CENTER,ROBERT MORGAN AND MIAMI LAKES EDUCATIONAL CENTERS
2006,Grambling State University,Ruston,0.1343759447336197,0.0023359162732958794,0.04616822302341461,8.025625720620155e-4,2006,GRAMBLING STATE UNIVERSITY,GRAMBLING STATE UNIVERSITY
62,Miami Dade Community College System,Miami,0.146262526512146,0.0017387096304446459,0.04608793929219246,5.478747189044952e-4,1506,MIAMI DADE COLLEGE,MIAMI DADE COMMUNITY COLLEGE SYSTEM
62,Miami Dade Community College System,Miami,0.146262526512146,0.0017387096304446459,0.04608793929219246,5.478747189044952e-4,4536,MIAMI-DADE JUNIOR COLLEGE SOUTH CAMPUS,MIAMI DADE COMMUNITY COLLEGE SYSTEM
62,Miami Dade Community College System,Miami,0.146262526512146,0.0017387096304446459,0.04608793929219246,5.478747189044952e-4,20664,MIAMI-DADE COMMUNITY COLLEGE NORTH CAMPUS,MIAMI DADE COMMUNITY COLLEGE SYSTEM
62,Miami Dade Community College System,Miami,0.146262526512146,0.0017387096304446459,0.04608793929219246,5.478747189044952e-4,20665,MIAMI-DADE COMMUNITY COLLEGE NEW WORLD CENTER,MIAMI DADE COMMUNITY COLLEGE SYSTEM
7993,"California State University, Bakersfield",Bakersfield,0.3275968134403229,0.00429590605199337,0.04607648029923439,6.042190361768007e-4,7993,"CALIFORNIA STATE UNIVERSITY, BAKERSFIELD","CALIFORNIA STATE UNIVERSITY, BAKERSFIELD"
1116,Art Center College Of Design,Los Angeles,0.30677685141563416,0.020532671362161636,0.04573692008852959,0.003061186522245407,1116,ART CENTER COLLEGE OF DESIGN,ART CENTER COLLEGE OF DESIGN
1468,Saint Thomas University,Miami,0.15930745005607605,7.052474393276498e-5,0.045534584671258926,2.0157971448497847e-5,1468,SAINT THOMAS UNIVERSITY,SAINT THOMAS UNIVERSITY
