cz,has_dad_pooled_pooled_mean,has_mom_pooled_pooled_mean,two_par_pooled_pooled_mean,kfr_top01_pooled_pooled_mean,kfr_top20_pooled_pooled_mean,kfr_26_pooled_pooled_mean,kir_top01_pooled_pooled_mean,kir_top20_pooled_pooled_mean,lpov_nbh_pooled_pooled_mean,staycz_pooled_pooled_mean,stayhome_pooled_pooled_mean,teenbrth_pooled_female_mean,work_24_pooled_pooled_mean
3201,0.8584445714950562,0.8709163069725037,0.7292208075523376,0.0032473700121045113,0.22170983254909515,0.5480937957763672,0.005504706874489784,0.19089718163013458,0.10992877930402756,0.6238521933555603,0.13195815682411194,0.3276320695877075,0.7822200059890747
3202,0.7204222679138184,0.8478152751922607,0.5682294964790344,0.0034956985618919134,0.1527368724346161,0.45281028747558594,0.006009212229400873,0.1539801061153412,0.19692587852478027,0.5010027885437012,0.1316627562046051,0.3173602819442749,0.8143996596336365
3203,0.6558610796928406,0.818632960319519,0.4744679927825928,0.00293921772390604,0.12129305303096771,0.4246847629547119,0.00300199375487864,0.13384824991226196,0.18726781010627747,0.5336896181106567,0.1390155851840973,0.3588011860847473,0.8018473386764526
3300,0.7185924649238586,0.868695855140686,0.5872896909713745,0.010429932735860348,0.18727798759937286,0.45550215244293213,0.01042412780225277,0.1947280317544937,0.37970656156539917,0.660972535610199,0.16214622557163239,0.27204960584640503,0.811845064163208
3400,0.8519794344902039,0.8941361904144287,0.746105968952179,0.008053936064243317,0.2524356245994568,0.5308735370635986,0.009385736659169197,0.22982434928417206,0.2803317904472351,0.70606529712677,0.14847822487354279,0.27699682116508484,0.8175656199455261
3500,0.7640811800956726,0.8830907344818115,0.6471779346466064,0.009658527560532093,0.21833078563213348,0.492136150598526,0.01025927159935236,0.21540935337543488,0.4403228759765625,0.7509099841117859,0.16386941075325012,0.26750215888023376,0.8324680924415588
3600,0.7510795593261719,0.8859534859657288,0.6370531916618347,0.004419201985001564,0.16144828498363495,0.4742606282234192,0.0058270045556128025,0.16035331785678864,0.2502615749835968,0.6559311151504517,0.14316622912883759,0.3145970404148102,0.833274781703949
3700,0.8176231384277344,0.9122256636619568,0.7298482656478882,0.007959237322211266,0.2142082005739212,0.5058547854423523,0.008638081140816212,0.2031993567943573,0.3401891887187958,0.682931661605835,0.13892313838005066,0.2798108756542206,0.8288268446922302
3800,0.8085439205169678,0.8974363207817078,0.7059760093688965,0.008778799325227737,0.22577232122421265,0.503164529800415,0.01015282142907381,0.2099136859178543,0.27844181656837463,0.755557119846344,0.14506381750106812,0.2754535675048828,0.8284786343574524
3901,0.7179181575775146,0.8567799925804138,0.5747045278549194,0.0064307148568332195,0.15297645330429077,0.4464206099510193,0.006364814937114716,0.14625465869903564,0.3100382089614868,0.6416573524475098,0.1299278885126114,0.3242800235748291,0.809574544429779
3902,0.7175182104110718,0.7779979109764099,0.495604008436203,0.004413045477122068,0.13403171300888062,0.4399721026420593,0.006884037982672453,0.1477833241224289,0.16959674656391144,0.45593389868736267,0.10634007304906845,0.38271746039390564,0.8205577731132507
4001,0.7710012793540955,0.8937060236930847,0.6649304628372192,0.007460827473551035,0.17853382229804993,0.48138293623924255,0.007543281186372042,0.1732567846775055,0.1814163625240326,0.48913976550102234,0.11682119965553284,0.2773454785346985,0.8201002478599548
4002,0.7042400240898132,0.8560663461685181,0.5603061318397522,0.0075834630988538265,0.1593179702758789,0.45612040162086487,0.008639034815132618,0.16152507066726685,0.3197449743747711,0.6865700483322144,0.14033359289169312,0.32446742057800293,0.8265129327774048
4003,0.7643979787826538,0.8859771490097046,0.6503841280937195,0.006087282672524452,0.1922595053911209,0.48872700333595276,0.00838512647897005,0.18317754566669464,0.28110337257385254,0.5547511577606201,0.12090350687503815,0.2944153845310211,0.8150933384895325
4004,0.8510718941688538,0.9078527092933655,0.7587732672691345,0.006395374890416861,0.2414068877696991,0.5336363911628723,0.01715858280658722,0.2157708704471588,0.15519696474075317,0.5539235472679138,0.10319170355796814,0.3120429515838623,0.8089694976806641
4101,0.8253857493400574,0.9116346836090088,0.7369555234909058,0.007615743670612574,0.15038356184959412,0.49654877185821533,0.006048345472663641,0.14568138122558594,0.23893527686595917,0.4874039590358734,0.11383131891489029,0.30693137645721436,0.8154637217521667
4102,0.7083752155303955,0.8641219139099121,0.5724948048591614,0.004648649599403143,0.119846872985363,0.44125595688819885,0.005056762136518955,0.12881401181221008,0.237045019865036,0.5292078852653503,0.12890450656414032,0.34906914830207825,0.8164393305778503
4103,0.757152795791626,0.9033371210098267,0.6605321764945984,0.008118991740047932,0.1575210839509964,0.46726393699645996,0.007180360611528158,0.15423588454723358,0.19912320375442505,0.5263751745223999,0.11411598324775696,0.3044035732746124,0.8127278685569763
4200,0.7578292489051819,0.916883111000061,0.6747150421142578,0.007992391474545002,0.16379769146442413,0.48158785700798035,0.007430544588714838,0.1531924605369568,0.3431529104709625,0.7069655656814575,0.13846686482429504,0.2442530244588852,0.8410375714302063
4301,0.7461205720901489,0.8825508952140808,0.6286585927009583,0.00599442096427083,0.12908703088760376,0.45869600772857666,0.004588635638356209,0.13211487233638763,0.18245285749435425,0.4856823980808258,0.12690559029579163,0.32004401087760925,0.8152329325675964
4302,0.8453384041786194,0.9391810297966003,0.7845117449760437,0.00810014083981514,0.17166151106357574,0.5012331604957581,0.008335812017321587,0.14481855928897858,0.213466078042984,0.5761744379997253,0.11067277193069458,0.253516286611557,0.8145310878753662
