cz,has_dad_black_pooled_mean,has_mom_black_pooled_mean,two_par_black_pooled_mean,kfr_top01_black_pooled_mean,kfr_top20_black_pooled_mean,kir_top01_black_pooled_mean,kir_top20_black_pooled_mean,lpov_nbh_black_pooled_mean,staycz_black_pooled_mean,stayhome_black_pooled_mean,teenbrth_black_female_mean,work_24_black_pooled_mean,has_dad_white_pooled_mean,has_mom_white_pooled_mean,two_par_white_pooled_mean,kfr_top01_white_pooled_mean,kfr_top20_white_pooled_mean,kir_top01_white_pooled_mean,kir_top20_white_pooled_mean,lpov_nbh_white_pooled_mean,staycz_white_pooled_mean,stayhome_white_pooled_mean,teenbrth_white_female_mean,work_24_white_pooled_mean,has_dad_asian_pooled_mean,has_mom_asian_pooled_mean,two_par_asian_pooled_mean,kfr_top01_asian_pooled_mean,kfr_top20_asian_pooled_mean,kir_top01_asian_pooled_mean,kir_top20_asian_pooled_mean,lpov_nbh_asian_pooled_mean,staycz_asian_pooled_mean,stayhome_asian_pooled_mean,teenbrth_asian_female_mean,work_24_asian_pooled_mean,has_dad_hisp_pooled_mean,has_mom_hisp_pooled_mean,two_par_hisp_pooled_mean,kfr_top01_hisp_pooled_mean,kfr_top20_hisp_pooled_mean,kir_top01_hisp_pooled_mean,kir_top20_hisp_pooled_mean,lpov_nbh_hisp_pooled_mean,staycz_hisp_pooled_mean,stayhome_hisp_pooled_mean,teenbrth_hisp_female_mean,work_24_hisp_pooled_mean,has_dad_other_pooled_mean,has_mom_other_pooled_mean,two_par_other_pooled_mean,kfr_top01_other_pooled_mean,kfr_top20_other_pooled_mean,kir_top01_other_pooled_mean,kir_top20_other_pooled_mean,lpov_nbh_other_pooled_mean,staycz_other_pooled_mean,stayhome_other_pooled_mean,teenbrth_other_female_mean,work_24_other_pooled_mean,has_dad_natam_pooled_mean,has_mom_natam_pooled_mean,two_par_natam_pooled_mean,kfr_top01_natam_pooled_mean,kfr_top20_natam_pooled_mean,kir_top01_natam_pooled_mean,kir_top20_natam_pooled_mean,lpov_nbh_natam_pooled_mean,staycz_natam_pooled_mean,stayhome_natam_pooled_mean,teenbrth_natam_female_mean,work_24_natam_pooled_mean
34203,0.7848049998283386,0.902867317199707,0.6852059960365295,-1.0459039185661823e-4,0.045393120497465134,-1.0459039185661823e-4,0.11071976274251938,0.3672095835208893,0.49613305926322937,0.10601242631673813,0.34175994992256165,0.8440847992897034,0.8809338808059692,0.9456266164779663,0.8265439867973328,0.007798122242093086,0.21316087245941162,0.006410984788089991,0.1880873143672943,0.46302226185798645,0.47100532054901123,0.10014823079109192,0.1462361365556717,0.8921259045600891,0.9014753699302673,0.9325261116027832,0.835837185382843,0.008788453415036201,0.25952908396720886,0.008788453415036201,0.19715486466884613,0.47862398624420166,0.36387166380882263,0.08140099048614502,0.08081477135419846,0.9127388596534729,0.7338789701461792,0.9633955359458923,0.69759368896484375,0.013540832325816154,0.16395072638988495,0.013540832325816154,0.1273653656244278,0.357757568359375,0.4676797688007355,0.11823079735040665,0.2921115756034851,0.9007802605628967,0.7490409016609192,0.9051785469055176,0.6546768546104431,0.007330602966248989,0.13761673867702484,0.010037695057690144,0.13761673867702484,0.3749758005142212,0.5014967918395996,0.1332109123468399,0.2099165916442871,0.8391229510307312,0.6676199436187744,0.8753061294555664,0.5419777631759644,0.00422761682420969,0.05959267541766167,0.00422761682420969,0.051134638488292694,0.28607773780822754,0.5747482776641846,0.18853899836540222,0.3688620626926422,0.7656646370887756
34204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8920803070068359,0.9568039178848267,0.8489923477172852,0.007499281782656908,0.20447371900081635,0.005373709369450808,0.2311251312494278,0.3165379464626312,0.3496960401535034,0.07876908779144287,0.10710427910089493,0.928135335445404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7247703075408936,0.8852983117103577,0.6182280778884888,0.004416394978761673,0.15924888849258423,0.004416394978761673,0.027935756370425224,0.22951386868953705,0.48308488726615906,NA,NA,NA,0.9092730283737183,0.9649779200553894,0.8496074080467224,0.04109925404191017,0.16179178655147552,0.04109925404191017,0.1686411052942276,0.4352826178073883,0.3925493061542511,0.032102424651384354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908542811870575,0.9450139999389648,0.8535460829734802,0.009181063622236252,0.24608872830867767,0.00994302611798048,0.2357768416404724,0.5697093605995178,0.4407159984111786,0.08174648880958557,0.1277170479297638,0.8858682513237,1.009023666381836,0.906737208366394,0.9117995500564575,-0.007388358004391193,0.29027608036994934,0.07956816256046295,0.44679781794548035,0.47433584928512573,0.26840075850486755,NA,NA,NA,0.8245511054992676,0.9084515571594238,0.7326597571372986,0.019870687276124954,0.15126830339431763,0.01638028584420681,0.15475870668888092,0.6103914976119995,0.5246097445487976,0.17651179432868958,0.24336516857147217,0.8391779661178589,0.9148737788200378,0.9905707240104675,0.9090757369995117,-0.0014543067663908005,0.1355123370885849,-0.0014543067663908005,0.09922201186418533,0.5334441661834717,0.318824827671051,0.09300553053617477,0.019803892821073532,0.8553338646888733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9025077819824219,0.9464400410652161,0.8490002751350403,0.0029618984553962946,0.27766865491867065,0.007428601384162903,0.2300238162279129,0.6452365517616272,0.3479749858379364,0.06654206663370132,0.1468934714794159,0.8997235298156738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8015323281288147,0.9420551657676697,0.7450613975524902,4.335317498771474e-5,0.17365048825740814,4.335317498771474e-5,0.1443464607000351,0.6265166997909546,0.4971068501472473,0.13158147037029266,0.3744373023509979,0.871924102306366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34303,0.7049413919448853,0.5714397430419922,0.2688174843788147,0.00664452463388443,0.09905456006526947,0.00664452463388443,0.2277674376964569,0.44281139969825745,0.14678610861301422,NA,NA,NA,0.8792468309402466,0.9406039118766785,0.8198629021644592,0.005950223188847303,0.2827816307544708,0.009958622045814991,0.24944192171096802,0.5706682801246643,0.4442860782146454,0.09431616216897964,0.18330688774585724,0.8794122934341431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7766616940498352,0.943973183631897,0.7199223637580872,2.4104290059767663e-4,0.22874394059181213,-6.780747789889574e-4,0.18278805911540985,0.439579576253891,0.6107442378997803,0.13000145554542542,0.25145605206489563,0.8289469480514526,0.887164294719696,0.9025460481643677,0.7878300547599792,-3.643170930445194e-4,0.17775458097457886,-3.643170930445194e-4,0.23572559654712677,0.4358997344970703,0.43429994583129883,0.17895486950874329,0.2522541880607605,0.8139350414276123,0.7190315127372742,0.8886711597442627,0.608089804649353,-2.2389457444660366e-4,0.02371886745095253,-2.2389457444660366e-4,0.05284508317708969,0.283664345741272,0.6808272004127502,0.2774240970611572,0.4486854672431946,0.8345195055007935
34304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8900249004364014,0.9301743507385254,0.820239782333374,0.013975357636809349,0.2801726162433624,0.013975357636809349,0.25145673751831055,0.5986967086791992,0.4424740970134735,0.08584119379520416,0.14720314741134644,0.9186398983001709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7936269640922546,0.8963765501976013,0.6892632246017456,0.010752156376838684,0.17478471994400024,0.010752156376838684,0.13873666524887085,0.4572230279445648,0.38142842054367065,0.14963608980178833,0.2291477471590042,0.9080907702445984,0.8589867353439331,0.9499093890190125,0.8067504167556763,-2.056505618384108e-4,0.17461331188678741,0.004478190094232559,0.19100676476955414,0.4181468188762665,0.34545743465423584,0.09984530508518219,0.15339137613773346,0.8786611557006836,0.6954658627510071,0.8889504671096802,0.58549565076828,-1.8916133558377624e-4,0.05655507743358612,-1.8916133558377624e-4,0.07849292457103729,0.18315672874450684,0.48041364550590515,0.3460252285003662,0.37581729888916016,0.797152042388916
34305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8683264851570129,0.9384514093399048,0.8068192005157471,0.009442171081900597,0.24266938865184784,0.01182064600288868,0.246088445186615,0.42647403478622437,0.4513578712940216,0.09456995129585266,0.11353638023138046,0.9217541813850403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7684072852134705,0.9594471454620361,0.7283273935317993,3.654250467661768e-4,0.12979979813098907,3.654250467661768e-4,0.2400939017534256,0.4040088355541229,0.4534323811531067,-0.0020448488648980856,NA,NA,0.8422239422798157,0.7881807684898376,0.6433578133583069,-6.614786689169705e-4,0.26855283975601196,-6.614786689169705e-4,0.26855283975601196,0.2549925446510315,0.24858392775058746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8446650505065918,0.9415726661682129,0.7877246141433716,-4.5581706217490137e-4,0.13664303719997406,0.005679151974618435,0.0630234107375145,0.32526537775993347,0.36691814661026,0.04738288372755051,NA,0.9559241533279419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9199011325836182,0.9416940808296204,0.860788106918335,0.008652986958622932,0.2789527177810669,0.008652986958622932,0.256246954202652,0.484729140996933,0.23644286394119263,0.11867044866085052,0.1461295634508133,0.927699625492096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7627941370010376,0.8430116772651672,0.6070440411567688,5.729750264436007e-4,0.043956153094768524,5.729750264436007e-4,0.031102687120437622,0.17192520201206207,0.3780060112476349,0.3546219766139984,0.40757787227630615,0.7373414039611816
34308,0.6055179238319397,0.8988529443740845,0.4991753399372101,1.9276262901257724e-4,0.15981462597846985,1.9276262901257724e-4,0.1679667979478836,0.39466357231140137,0.48890355229377747,0.26056769490242004,0.2703629434108734,0.7581393122673035,0.8645015358924866,0.9469312429428101,0.8114124536514282,0.009109506383538246,0.25168612599372864,0.010327383875846863,0.23052704334259033,0.5214581489562988,0.5731281638145447,0.09828592836856842,0.13024736940860748,0.9093891978263855,0.9603898525238037,0.9423525333404541,0.902535080909729,-2.2671461920253932e-4,0.33406516909599304,0.047996636480093,0.2909179627895355,0.6137465834617615,0.5648964643478394,0.11985675245523453,0.06259263306856155,0.7938504219055176,0.7465171813964844,0.9052596092224121,0.6513606905937195,0.0018264014506712556,0.09850392490625381,0.00403933459892869,0.11669915169477463,0.33914920687675476,0.7031723260879517,0.13179031014442444,0.3463294506072998,0.8850714564323425,0.7933712601661682,0.915690541267395,0.7087880373001099,0.007970110513269901,0.19001246988773346,0.014585324563086033,0.1475648432970047,0.4316813349723816,0.5242693424224854,0.10434021800756454,0.21057601273059845,0.8690218329429626,0.6846114993095398,0.9385800361633301,0.6233648061752319,0.0011262664338573813,0.04953378066420555,0.0011262664338573813,0.05409536138176918,0.33695051074028015,0.6792243719100952,0.16488727927207947,0.28795260190963745,0.858897864818573
34309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9531870484352112,0.9777587652206421,0.9330137968063354,0.006932720076292753,0.22743907570838928,0.016426390036940575,0.09136313945055008,0.32163843512535095,0.3222586214542389,0.12426578253507614,0.0739937275648117,0.8664911389350891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8920959830284119,0.9654726982116699,0.8575671315193176,0.013868962414562702,0.22690750658512115,0.018998311832547188,0.20572106540203094,0.44528892636299133,0.2920825481414795,0.06425213813781738,0.12863264977931976,0.8939172029495239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871082603931427,0.8665550351142883,0.7325201630592346,-1.8864808953367174e-4,0.11627410352230072,-1.8864808953367174e-4,0.14688634872436523,0.42306050658226013,0.37970858812332153,0.05830974131822586,0.14800888299942017,0.9523888826370239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
